Gene.symbol	ID	adj.P.Val	logFC
	8139933	9.52858650724892e-10	-2.67626104872222
	8083407	1.69644744718725e-09	-3.27643130972222
BEX2	8174239	1.88883255551706e-09	-2.70245587916667
MIR23A	8034698	2.13275183005943e-09	-2.89549173122222
F2RL1	8106403	2.13933817891498e-09	-2.75399271505555
RPS6KA6	8173825	2.17561159739304e-09	-2.28648589972222
GIPC2	7902518	5.21158126381054e-09	-2.0958105245
TREM1	8126303	5.4327983974923e-09	3.9422768873889
ACPP	8082673	1.07060303023272e-08	3.02392925211111
SYTL4	8173955	1.44018232476168e-08	-3.10377885216667
STARD9	7983132	1.56649518655384e-08	-2.89634420705556
GCNT2	8116835	1.80776732787519e-08	-2.50409863494444
STARD9	7983145	2.08564083575217e-08	-2.65592077622222
CCDC175	7979444	2.44141281478334e-08	-2.18676656588889
PLA2R1	8056151	4.56988261542696e-08	-1.64227840327778
	7895810	4.67913227173395e-08	-2.59531469377778
CHRM3	7910915	5.18607974022403e-08	-4.37856988838889
KLF3-AS1	8099817	6.35840224847401e-08	-3.03993466994445
PRR11	8008784	8.7954981129872e-08	2.96374122755556
GPR21	8157727	1.25516907536829e-07	-3.09015923466667
VWDE	8138258	1.25516907536829e-07	-3.76142551894444
	7932130	1.2592314216571e-07	-1.27524154411111
	8054939	1.27327244485464e-07	-3.28283344483333
BMP6///BMP6	8116818	1.66631370436862e-07	-1.98988094905555
STARD9	7983143	2.13461121310632e-07	-2.6232532995
	7895484	2.18232598186561e-07	1.66753962511111
BEX5	8174141	2.52237980810981e-07	-2.28771540088889
DTX3	7956539	2.53269726183801e-07	-1.8900337425
DMRTC1B///FAM226B///FAM226A///DMRTC1	8173583	2.82021133322768e-07	-1.20987295444445
SDR42E1	8003060	3.50102324009629e-07	-2.41420726588889
LOC100129940	7964736	3.55382267278842e-07	-1.78699972788889
CSF1R	8115076	3.55382267278842e-07	3.00044622072223
PLSCR4	8091306	3.71135729005498e-07	-2.63607241572222
HOOK1	7901765	4.89455614118451e-07	-1.44963424888889
METTL24	8128837	5.1860343902531e-07	-1.77683679722222
PRKCD	8080487	5.23132280144589e-07	2.97252833266667
TRIM74///TRIM73///TRIM50	8139966	5.61819371039083e-07	-1.80105584516667
CYYR1	8069668	6.10641176643284e-07	-3.74533917566667
FLJ11710	8008700	6.1584980002219e-07	-2.59985144172222
MIR27A	8034696	6.24444142786014e-07	-2.30290469633333
SEPT5-GP1BB	8071272	6.56407887446387e-07	-2.52482401466667
VWDE	8138277	6.96596790490073e-07	-3.99593663838889
C3AR1	7960874	7.37474054233331e-07	4.0360808508889
CAMLG	8108127	7.61913450515735e-07	-1.80671454705556
SEMA3C	8140534	9.62887426619142e-07	-2.19111136627778
LAG3	7953418	1.29557376304398e-06	-1.2974006235
DPYSL3	8114920	1.38001102494602e-06	-2.014642395
	7957673	1.5217855466114e-06	-1.12647406194444
MNDA	7906377	1.5247806433721e-06	4.30201230822223
BEND7	7932118	1.55327227317999e-06	-2.01595482694445
MAP2K7	8025351	1.69545536396203e-06	1.36132732844444
BAIAP3	7992219	1.78846567162123e-06	-1.43197157944444
PACRG	8123303	1.86484377402035e-06	-1.52040033644444
TVP23A	7999412	1.96524086178497e-06	-1.67394623477778
PLCB4	8060897	2.08634272652963e-06	-3.436481563
OSCAR	8039120	2.24462090020049e-06	1.55007564555556
	7893392	2.94925808049426e-06	-2.46461376233334
CSF2RA	8176306	2.94925808049426e-06	2.25169069527778
ECRP///ECRP	7973108	3.42939452079708e-06	4.24850250016667
RASSF9	7965226	3.49617548032141e-06	-1.44500066872222
FGD5	8078066	3.6461943491392e-06	-2.04185013277778
TMEM104	8009693	3.70145771936754e-06	1.61074137816667
GRN	8007620	3.73431914448013e-06	2.24843667866667
MTURN	8132055	3.78582602966012e-06	-2.913332789
MYOF	7935058	4.20171301029769e-06	3.1709138235
NAP1L2	8173600	5.15788670931318e-06	-2.634756757
FHL1	8170119	5.55323032580265e-06	-3.542145431
QSOX1	7907830	5.57900859858907e-06	2.17343817755555
ROBO4	7952453	7.11517310439089e-06	-1.51598861416667
MAN2B1	8034420	7.69421769499889e-06	1.93205222955556
C10orf12	7929609	9.18666520430711e-06	1.69994605338889
ADAP2	8006214	9.38792703666698e-06	2.22482165972222
MS4A6A	7948455	1.03505638552449e-05	3.70557192588889
ZNF474	8107591	1.22630642787944e-05	-1.3474082765
WARS	7981290	1.22743469089821e-05	2.47366436005556
CLEC7A	7961120	1.29591189209243e-05	2.58994051055556
HAVCR2	8115464	1.29644285824945e-05	2.67119261111111
ATP11A	7970162	1.31072238760246e-05	2.02648313877778
HFM1	7917612	1.39625674087651e-05	-1.74752571233333
KYNU	8045539	1.47766389369952e-05	3.60537783433333
SSPN	7954481	1.52369906422672e-05	-2.27199150316666
IL13RA1	8169580	1.63411162874833e-05	3.79848389738889
	7893609	1.656001174689e-05	1.71587967972222
EVA1C	8068202	1.8408973350957e-05	-1.74697289283333
ZNF106	7987892	1.85128938228095e-05	1.5946915765
CFP	8172333	1.85128938228095e-05	1.88211710655555
MKI67	7937020	1.85128938228095e-05	2.74982960461111
REN	7923608	1.88778541464156e-05	-1.25443124322222
REC8	7973629	1.91162772044494e-05	-2.32450494572223
DPP9	8032871	1.91242761107387e-05	1.67753630655556
L3MBTL4	8022145	1.91242761107387e-05	-3.19057578333333
CRYGD	8058520	2.40104842394087e-05	-1.42967830122222
TCTEX1D1	7902158	2.54734073750095e-05	-3.67109859838889
TPD52L2	8064191	2.54734073750095e-05	1.45938330444445
CTSF	7949650	2.66987796335504e-05	-2.12292367677778
	7893534	2.72123742515701e-05	1.69578288166667
LRRN1	8077366	3.04046928768757e-05	-2.61089097483333
EIF3J-AS1	7988283	3.16286776614722e-05	-1.52707727927778
CDADC1	7969096	3.32248873165383e-05	-1.67071134261111
PLAUR	8037374	3.56232267474015e-05	2.63837676227778
SIGLEC9	8030782	3.56232267474015e-05	1.82892641755556
FAT4	8097288	3.56232267474015e-05	-1.72822099711111
TTTY10	8177261	3.68349061477783e-05	-3.11862802972222
ELAC2///HMGA2///HMGA2	7956867	3.99941076395388e-05	-2.19927881311111
CLDN15	8141708	4.10426127011311e-05	-1.15833782211111
SRGAP2D///SRGAP2C///SRGAP2B///SRGAP2	7904469	4.10426127011311e-05	1.93852107083334
LTBP3	7949412	4.10426127011311e-05	-2.01958679533333
	7895780	4.10426127011311e-05	-1.3914991585
ABO	8164853	4.49527461988683e-05	-1.958643252
LRRC25	8035456	4.56315013548934e-05	1.88214235733334
IL1RN	8044574	4.59064876645271e-05	2.57852358522222
FIGN	8056323	4.68246380235843e-05	-1.22122099066667
SERGEF	7946933	4.71020146125557e-05	-1.55922602894444
	7934717	4.76068676059301e-05	-1.79124846044444
VIP	8122865	4.87300233267644e-05	-0.881381238166665
	7895585	5.00366628964174e-05	-2.05946082733333
C2orf27B///C2orf27A	8045323	5.90559207183604e-05	-1.45640062466667
ZNF385D	8085774	6.08129521548776e-05	-1.87015214538889
	7893559	6.33395965509294e-05	1.11158406444444
PTPN18	8045182	6.33395965509294e-05	2.14806553161111
AVP	8064575	6.41453082835916e-05	-1.17085889777778
ARMCX2	8174092	6.42740203002436e-05	-1.50707428522222
PCYT1B	8171848	6.42740203002436e-05	-2.14248594188889
RASGRP3	8041422	6.51367974893836e-05	3.06218649238889
	7893153	6.6716138033442e-05	1.89842675966667
SPAG5	8013671	6.93472522340399e-05	2.15802786205556
ITGAM	7995096	7.59852559720573e-05	3.01838330827778
TRO	8167835	7.79331986622229e-05	-1.94933051411111
CD86	8082035	7.83696034204027e-05	3.31197186872222
ARMCX1	8168868	7.84935354580326e-05	-2.530642614
CLPB	7950142	7.93397455601612e-05	1.29599474111111
PBXIP1	7920575	8.49214087761365e-05	-1.93168316472222
NID1	7925320	8.5590318490896e-05	2.02590478516667
	7911213	8.58885884919357e-05	-1.33893242172222
	7926539	8.62268344630493e-05	-1.76554035172222
	8180218	8.72002829769666e-05	-2.07340232288889
	7892674	9.01403268396032e-05	1.6613739595
CFD	8024062	9.71881885031797e-05	2.97748055883333
	7895890	9.79495681011713e-05	1.99124891561111
	7894474	9.86361407936835e-05	-1.78053967783333
OBSCN	7910265	9.86361407936835e-05	-1.05245024455556
	7895632	9.97078606257763e-05	2.08680710111111
TLR8	8166065	0.000103795631364278	2.35801767955555
CPD	8006123	0.000103974596487582	1.613452356
C10orf10	7933204	0.000103974596487582	-2.93285814283333
JAM2	8068024	0.000108416523999519	-1.96624245283333
DCUN1D1	8092321	0.000110673475830372	2.20619516077778
CD163	7960794	0.000111024761298153	3.158364362
TMEM220	8012830	0.000112725620831464	-1.65243770072222
	8028309	0.000116198772547236	-1.32790699038889
MPL	7900683	0.000122705059919709	-1.693774933
	7896614	0.000122705059919709	-1.91266573883333
	8180240	0.000125824642150345	-1.87882629305555
TOP2A	8014974	0.000126874900208622	2.73118628144445
C1orf132///MIR29C	7923974	0.00012854908383645	-2.48351618055556
ELOVL7	8112274	0.00012854908383645	-3.31844801422222
RGAG4	8173503	0.000129194772249338	-1.45323934988889
	7894784	0.000130099313924966	-1.67448235855555
SMARCA1	8174985	0.000130827753321195	-2.75265905927778
FYB	8111739	0.000131944844028741	4.38238276816667
TADA2B	8093993	0.000132312850297292	1.52605906516667
HMGN2	8000409	0.000134593541191468	1.33345322611111
	8126482	0.000151598230808099	-1.19150359255555
POTEF///POTEJ///POTEM///POTEE///POTEKP	8055151	0.000152807701348312	1.66777954277778
P2RY13	8091523	0.000153670520334953	2.68724458416667
UCHL1	8094778	0.000155752064848746	-2.40525458905556
RNF150	8102938	0.00015823068802363	-2.08046266911111
SETBP1	8021047	0.000169694968165588	-2.08770019088889
BORCS6	8012397	0.000169694968165588	-0.994198246055556
	7896063	0.000169694968165588	1.81363929388889
ANAPC15	7950128	0.000169694968165588	1.86802896488889
	7892847	0.000170612764096184	2.73885771505556
HMGN2	7899187	0.000173981266946111	1.61603412611112
NT5DC3	7965918	0.000175508662872006	2.28589401133333
	7893091	0.000176455263539002	3.35750454777778
ARF1	7910229	0.000178087802426488	0.982237952222221
FCGR2C///FCGR2B	7906767	0.000178424900462623	3.59021757611112
	7896375	0.000181545931588546	1.57675684166667
NCF2	7922773	0.000183344454646329	3.79404372422222
FAM107B	7932160	0.000183344454646329	2.82746597544444
ASAP1	8152867	0.000191720464979115	2.51437884044444
RASSF6	8100943	0.000192587222188978	-1.73457023305556
FCER1G	7906720	0.000192802200979278	3.73918189561111
CD1D	7906330	0.000192802200979278	2.00386005672222
	8095214	0.000207374219793766	-1.53962878366667
ARHGAP19-SLIT1///ARHGAP19	7935403	0.000209318442857629	1.619234086
WDR17	8098379	0.000212514759657349	-2.43799666372222
MYO9B	8026638	0.000213252830698608	1.13478552488889
LINC01560	8167163	0.000216036489006283	-1.86685597716667
CCDC59	7965200	0.000216036489006283	1.95408188455555
ITGAX	7995128	0.000226614782006293	2.326049011
LRP1	7956301	0.00022877152172147	2.5346912265
AZI2	8085954	0.000230036209697178	1.62609727788889
PRR15	8132031	0.000244388809823836	-1.85142842372222
OPA3	8037608	0.000250792294564222	0.854827775388892
	7895813	0.000250792294564222	2.23606868855555
LARP7///ZGRF1///LARP7	8096938	0.00025911046806574	1.718345697
	8113879	0.000261369065468059	-1.88259185644444
	7895795	0.00026724268138468	-1.09607163283333
TYROBP	8036224	0.000274955175801122	2.78671463333334
ARHGAP22	7933469	0.000274955175801122	-1.700199197
	7892747	0.000280121807863186	-1.14637792422222
SULT1C4	8044225	0.000280121807863186	-1.54285875444444
TMEM246	8162902	0.000280121807863186	-1.23292611144444
ZNF706	8152111	0.000280121807863186	-1.66698266577778
CD68	8004510	0.000280121807863186	2.65595269888889
CTSB	8149330	0.000281251892521762	1.99860606938888
ZNF300	8115196	0.000281251892521762	-2.25819040022222
	7903455	0.000296535826432529	-1.03837823194445
SRGAP2C///SRGAP2B///SRGAP2	7904482	0.000299718199556176	1.73025669966666
PTPRJ	7939839	0.000300018469388414	2.80255804422222
FANCD2	8077731	0.000302791423142532	1.76361529072222
TCN2	8072360	0.000302872466768789	1.64441787383333
